Description,SalesDollars,cum_pct,ABC_Category
Milagro Silver Tequila,26062.27,48.25989808210417,A
Cruzan Aged Dark Rum,26002.949999999997,48.33836350208403,A
Cupcake Svgn Bl,25813.15,48.41625618948116,A
Finlandia Vodka,25794.92,48.49409386678881,A
Old Smuggler P E T,25718.94,48.57170227000985,A
Yellow Tail Chard Ausl,25542.95,48.648779613129555,A
Barefoot Chard Cal,25392.84,48.72540399055909,A
Emmets Irish Cream,25372.75,48.80196774524054,A
La Marca Prosecco,25283.23,48.87826136809477,A
Cupcake Prosecco,25282.5,48.95455278813137,A
Jeffersons Bourbon,25221.629999999997,49.03066052938868,A
Cecchi Chianti Classico,25188.22,49.10666745402012,A
Stolichnaya Vanil,25120.84,49.18247105556713,A
Barefoot Moscato Cal,25068.81,49.258117653551025,A
J & B Rare,25005.95,49.33357456781442,A
L Martini Cab Svgn Sonoma,24927.86,49.40879584094301,A
Chopin Vodka,24897.22,49.483924656082486,A
B & B Liqueur Dom,24871.199999999997,49.5589749543526,A
Madison's Ranch Cab Svgn,24797.91,49.633804095768205,A
Agua de Piedra Malbec Selccn,24613.73,49.708077463279224,A
Duckhorn Decoy Cab Svgn,24582.07,49.78225529489158,A
Capt Morgan Silver Spicd Rum,24554.82,49.856350898037746,A
Remy Martin 1738 Accord Ryl,24530.31,49.93037254082775,A
Kris Pnt Grigio Alto Adige,24528.79,50.00438959692899,A
Bacardi Dragon Berry Rum,24478.63,50.07825529230131,A
Joel Gott Cab Svgn 815,24469.29,50.15209280367824,A
Ch Beauchene Cotes du Rhone,24467.75,50.22592566801526,A
Rombauer Carneros Chard,24300.5,50.29925384571127,A
Whitehaven Svgn Bl Marlboro,24178.87,50.372214997780105,A
Silverado Cab Svgn Napa,24068.41,50.444842830349,A
M & R Sweet Vermouth,24023.85,50.51733620051597,A
Black Box Cab Svgn,23984.879999999997,50.58971197643242,A
M & R Asti,23710.18,50.66125882905869,A
Balvenie 12 Yr Doublewood S,23693.05,50.73275399090969,A
14 Hands Cab Svgn Wash,23631.14,50.80406233572069,A
Stolichnaya Blueberi,23565.73,50.87517330203728,A
E & J Superior RSV VSOP,23546.969999999998,50.946227658958435,A
Franzia Crisp White Tap,23546.77,51.01728141236792,A
Absolut Mandrin,23540.5,51.088316245686286,A
Smirnoff Citrus Vodka,23479.46,51.15916688724044,A
Crown Royal Hand Slct Barrel,23425.739999999998,51.229855425557766,A
Sutter Home Wh Znfdl,23362.16,51.30035210751257,A
Silver Oak Cab Svgn Alex Vly,23331.67,51.370756784112025,A
Ciroc Pineapple Vodka,23222.87,51.44083315035846,A
Franzia Tap Wh Znfdl Cal,23217.83,51.510894308110586,A
R M Woodbridge Svgn Bl Cal,23170.88,51.58081379149624,A
GranGala Triple Orange,22934.289999999997,51.65001935074201,A
Wild Turkey American Honey,22832.489999999998,51.71891772254351,A
Almaden Chard Cal B/B,22772.829999999998,51.78763606681136,A
Absolut Ruby Red,22622.16,51.85589975555636,A
Jameson Caskmates,22462.51,51.923681691104115,A
Sutter Home Chard,22380.19,51.99121522124509,A
F Coppola Dmd Ivry Cab Svgn,22375.56,52.058734780090695,A
Stone Cellars Cab Svgn,22281.35,52.12597005476024,A
Taaka Vodka,22253.52,52.193121350779734,A
Turning Leaf RSV Cab Svgn,22105.61,52.25982631973752,A
Franzia Tap Merlot,21856.49,52.32577955454879,A
Ron Virgin Heavy Bodied Rum,21832.15,52.39165934198879,A
Smirnoff Green Apple Vodka,21795.82,52.45742950153244,A
U V Vodka,21780.6,52.52315373383737,A
Southern Comfort 100 Proof,21740.969999999998,52.588758380303226,A
Bacardi 151 Proof,21729.129999999997,52.65432729887773,A
Tortilla Gold Tequila Liquer,21724.3,52.719881642645205,A
Josh Cellars Pnt Nr,21639.49,52.785180067285474,A
Seagrams Extra Dry Gin,21535.28,52.85016403216577,A
R Mondavi Cab Svgn Pvt Sel,21518.12,52.915096215744065,A
Sterling Vintners Cltn Merlo,21496.96,52.979964547786786,A
Dr McGillicuddy's Root Beer,21287.93,53.04420211959889,A
Franzia Tap Cab Svgn,21232.88,53.10827357482155,A
Black Box Chard,21135.88,53.17205232688021,A
Jim Beam Apple,21134.16,53.23582588873844,A
Phillips Earthquake Cab Svgn,21023.86,53.29926661390607,A
Woodford Rsv Bourbon,20923.25,53.36240374252393,A
Leroux Blackberry Brandy,20921.57,53.42553580164369,A
Crown Royal Canadian Whisky,20880.54,53.488544050342625,A
Scoresby Rare,20743.69,53.55113934617568,A
Eagle Rare Single Barrel Bo,20742.57,53.613731262343336,A
Balvenie 14 Yr Caribean Cask,20730.969999999998,53.67628817483363,A
Franzia Sunset Blush Tap,20619.74,53.738509444304036,A
Corbett Canyon Chard,20451.56,53.800223220804135,A
Pinnacle Citrus Vodka,20421.98,53.86184773792701,A
Ecco Domani Pnt Grigio Venez,20345.26,53.923240747970084,A
Smirnoff Blueberry Vodka,20305.19,53.9845128444484,A
Angeline Pnt Nr,20301.41,54.045773534556,A
Banfi Pnt Grigio San Angelo,20266.67,54.106929394685075,A
Godiva Chocolate Liqueur,20178.77,54.16782001143152,A
Fireball Cinn Whisky Trav,20163.39,54.22866421812991,A
Il Bastardo Sangiovese Tosc,20155.49,54.289484586116984,A
Mr Boston Blackberry Brandy,20111.35,54.35017175907667,A
Rodney Strong Chard,20080.57,54.41076605158906,A
Justin Cab Svgn Paso Robles,20007.91,54.471141088308705,A
Yellow Tail Shiraz Ausl,19944.35,54.53132432901698,A
Wild Turkey,19920.94,54.59143692868332,A
Fish Eye Pnt Grigio,19891.43,54.65146048020151,A
Patron Anejo Tequila,19741.77,54.7110324239308,A
DeKuyper Sour Apple Pucker,19737.48,54.77059142233461,A
Bogle Merlot,19710.81,54.83006994245609,A
Bowman Vodka,19643.15,54.889344294576816,A
Menage a Trois Midnight,19594.87,54.94847295897838,A
Zhenka Vodka Plastic,19578.29,55.00755159226182,A
Jose Cuervo Lime Margarita,19367.09,55.06599291721294,A
Carnivor Cab Svgn,19311.83,55.12426749188732,A
Noble Vines 337 Cab Svgn,19280.0,55.18244601767811,A
Midnight Moon Apple Pie,19227.27,55.240465427614915,A
Evan Williams Honey Reserve,19202.27,55.29840939859192,A
Grey Goose Le Citron Vodka,19159.329999999998,55.35622379561159,A
Yellow Tail Merlot Ausl,19121.920000000002,55.41392530577184,A
Klinker Brick Old Vine Znfdl,19016.77,55.4713095196672,A
Cupcake Pnt Grigio,19007.73,55.5286664548347,A
Ronrico Silver Rum,18910.38,55.58572963069277,A
Yellow Tail Cab Svgn Ausl,18830.35,55.642551311352776,A
Sauza Extra Gold Tequila,18825.67,55.699358869839486,A
Borsao Tres Picos Garnacha,18761.68,55.75597333476473,A
Ch Ste Michelle Chard Colmbi,18621.87,55.81216591485123,A
E & J XO Brandy,18552.66,55.86814964972145,A
Stags Leap Artemis Cab Svgn,18509.87,55.9240042632681,A
Bogle Chard,18490.19,55.979799491265595,A
Jim Beam Honey,18462.0,56.03550965429203,A
Corbett Canyon Pnt Grigio,18460.25,56.09121453659127,A
Zhenka Vodka 100 Proof,18424.07,56.14681024362791,A
Liberty School Pnt Nr CC,18356.69,56.20220262758012,A
Cava Mistinguett Brut,18241.17,56.257246423186935,A
Grey Goose L'Orange Vodka,18237.97,56.31228056260687,A
Goldschlager Cinnamon Schnps,18220.809999999998,56.367262920724826,A
Kim Crawford Svgn Bl Marlbro,18212.719999999998,56.42222086679539,A
Reyka Vodka,18159.32,56.47701767524784,A
Sobieski Vodka,18087.989999999998,56.53159924126021,A
Hpnotiq Liqueur,18066.14,56.58611487362173,A
Jim Beam Maple,18047.09,56.64057302149589,A
Sambuca Romana Liqueur,18027.41,56.69497178382089,A
Jack Daniels Single Barrel,17957.11,56.749158411790965,A
Clan MacGregor,17955.899999999998,56.80334138851539,A
Starborough Svgn Bl Marlboro,17953.14,56.857516036778655,A
F Coppola Diamond Chard,17879.14,56.91146738572094,A
Jaboulet Cotes du Rhone Par,17809.43,56.96520838066773,A
Roscato Rosso,17590.56,57.01828892260935,A
Crown Royal Black,17517.57,57.07114921296397,A
Baileys Irish Cream Mini's 4,17507.53,57.123979207032335,A
Liberty School Cab Svgn,17501.13,57.176789888727,A
Franciscan Cab Svgn Napa,17452.86,57.22945491287808,A
Korbel Brut,17436.88,57.28207171644608,A
Everclear 151,17410.28,57.33460825296086,A
Franzia Chillable Red Tap,17386.95,57.387074389838354,A
Bacardi Twin Pack 2/750mls,17331.329999999998,57.439372690118105,A
Paul Dolan 12 Cab Svgn,17253.49,57.49143610365266,A
Dewars White Label Scotch,17165.64,57.54323442468251,A
St Germain Liqueur,17141.82,57.59496086747147,A
Kapali Coffee,16985.91,57.646216842731576,A
Black Box Pnt Grigio,16982.46,57.69746240741526,A
Stone Cellars Merlot,16958.02,57.74863422297183,A
Christian Bros Brandy,16909.23,57.79965881185447,A
Mr Boston Light Rum,16902.94,57.85066442029484,A
Dr McGillicuddy's Menth Trav,16861.87,57.90154609761207,A
The Macallan 10 Yr Fine Oak,16841.5,57.952366307264846,A
Zhenka Raspberry Vodka,16785.55,58.00301768452562,A
Baileys Salted Caramel,16683.149999999998,58.05336006380708,A
Popov Vodka,16666.170000000002,58.10365120494706,A
Ch Ste Michelle Cab Svgn Col,16657.61,58.153916515787195,A
Calypso Spiced Rum,16594.16,58.2039903625474,A
Schug Pnt Nr Carneros,16537.36,58.25389281199094,A
Zhenka Vodka,16532.25,58.30377984171111,A
Sterling Vintners Cltn Pnt N,16496.14,58.35355790739776,A
Catena Lunlunta Malbec Argn,16459.09,58.40322417254599,A
Franzia Chablis Old World C,16420.21,58.45277311502396,A
Moet Nectar Imperial Rose,16411.19,58.502294839125234,A
Patron Reposado Tequila,16337.54,58.55159432005097,A
Phillips Earthquake Ld Znfdl,16307.71,58.60080378720988,A
Canadian Regal,16273.710000000001,58.64991065738347,A
Barefoot Merlot Cal,16257.29,58.69896797924827,A
Silver Oak Cab Svgn Napa,16188.16,58.74781669730146,A
Cupcake Red Velvet,16174.03,58.79662277725458,A
Sutter Home Merlot Cal,16146.03,58.84534436557273,A
DeKuyper Buttershots Schnpps,16120.25,58.89398816123554,A
Campari,15984.67,58.942222836331624,A
Lindemans Bin 65 Chard,15955.73,58.990370183287844,A
Gascon Malbec Mendoza,15920.55,59.03841137253985,A
Bread & Butter Chard,15916.75,59.086441095069965,A
Tanqueray Rangpur Gin,15823.27,59.13418873624162,A
Smirnoff Kissed Caramel,15682.34,59.18151111290915,A
Ice 101 Peppermint Schnapps,15639.75,59.22870497176478,A
DiSaronna Amaretto Sour VAP,15596.83,59.27576931701424,A
Columbia Crest Grand Merlot,15593.130000000001,59.32282249729764,A
Black Box Merlot Cal,15565.48,59.36979224209152,A
Castillo Silver Label Rum,15526.64,59.41664478491748,A
Fleischmanns Preferred,15497.11,59.46340821924413,A
Leese-Fitch Cab Svgn,15462.93,59.51006851342494,A
Andre Extra Dry,15432.76,59.55663776786909,A
Tilia Malbec Mendoza,15424.56,59.60318227833442,A
Johnnie Walker Double Black,15400.310000000001,59.64965361300876,A
Dom de Dionysos La Deveze,15394.73,59.69610810970727,A
Amaretto di Amore,15306.75,59.742297121618485,A
Ghost Pine Cab Svgn LMartini,15291.46,59.78843999506189,A
Camarena Silver Tequila,15285.97,59.83456630210973,A
Peter Vella Chard Cal B/B,15273.14,59.8806538938834,A
Zhenka Tropical Dark Rum,15252.15,59.926678147106415,A
Vanya Light Vodka,15214.33,59.972588276271075,A
The Macallan 18 Yr Old,15199.41,60.01845338346453,A
Acumen Moutainside Red Napa,15143.939999999999,60.064151106694005,A
Da Vinci Chianti Tuscany,15133.95,60.10981868451514,A
Aberlour Glenlivet 12 Yr,15122.230000000001,60.15545089655193,A
Benziger Cab Svgn Sonoma,15114.22,60.201058937945994,A
Columbia Crest Grand Chard,15110.85,60.2466568101683,A
Mr Boston Coffee Brandy,15094.89,60.292206522158665,A
Johnnie Walker Green Label,15057.49,60.33764337746517,A
Landmark Overlook Chard,15030.6,60.382999090626534,A
Blantons Sgl Barrel Bourbon,15021.36,60.42832692154836,A
A to Z Pnt Nr Ore,15006.96,60.47361129962935,A
Knob Creek Smoked Maple,14974.65,60.51879818039869,A
Masciarelli Montepulciano,14897.81,60.56375319198123,A
Capt Morgan Cannon Blast,14894.289999999999,60.60869758175822,A
Erath Pnt Nr Oregon,14884.66,60.653612912447905,A
The Dreaming Tree Crush Red,14794.59,60.698256451653265,A
R M Woodbridge Pnt Nr,14785.27,60.7428718672144,A
Hennessey VS +VSOP 50mL,14783.88,60.78748308836938,A
Pinnacle Tropical Punch,14764.31,60.832035255906625,A
Perrier Jouet Grand Brut,14749.73,60.87654342744253,A
St Brendans Irish Cream,14731.44,60.92099640783546,A
Line 39 Cab Svgn Lake Cnty,14716.27,60.96540361186757,A
19 Crimes Red,14715.27,61.0098077983413,A
Ch Ste Michelle Rsl,14683.82,61.05411708260361,A
The Prisoner Red Napa Valley,14682.48,61.09842232333767,A
Cooks Extra Dry,14676.14,61.14270843275155,A
C K Mondavi Chard,14650.41,61.18691690038799,A
Cabo Wabo Blanco Tequila,14564.59,61.23086640116326,A
Glen Ellen Cab Svgn RSV,14532.210000000001,61.274718193397824,A
DeKuyper Peachtree Schnapps,14521.960000000001,61.31853905565886,A
Ch Macard Brdx Superieur,14450.36,61.36214386073906,A
Sutter Home Cab Svgn,14424.66,61.40567111456859,A
Yellow Tail Pnt Grigio Ausl,14377.62,61.449056422451385,A
